headline;title;description;pubTime;pubDate
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;"Lindner: ""Staerker regional vorgehen""";Der FDP-Vorsitzende Christian Lindner hat neue Moeglichkeiten im Umgang mit der Corona-Krise gefordert.;22:52;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Briten danken Corona-Helfern;"""ClapForOurCarers"" - unter diesem Motto haben in ganz Grossbritannien Menschen mit Applaus den Helfern in der Corona-Krise gedankt - auch die Royals bildeten keine Ausnahme.";22:15;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;BVAP schlaegt Kostenteilung bei Pflege-Bonus vor;Die Bundesvereinigung der Arbeitgeber in der Pflegebranche (BVAP) hat einen Vorschlag vorgelegt, wie ein Bonus fuer Pflegekraefte angesichts der Mehrbelastung in der Corona-Krise finanziert werden koennte.;22:09;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Kritik am Ausgang des EU-Gipfels;Eine Einigung, aber kein konkretes Ergebnis - so fassen mehrere EU-Politiker den Ausgang des heutigen Gipfels zu Corona-Hilfen zusammen.;22:00;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Bericht: Maskenpflicht in Moscheen vorgeschlagen;Der Koordinationsrat der Muslime schlaegt in einem schriftlichen Konzept eine Maskenpflicht beim Besuch in einer Moschee vor, wenn die Gotteshaeuser schrittweise wieder oeffnen koennen.;21:50;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Leichtathletik-EM wird verschoben;Die fuer Ende August 2020 in Paris geplanten Leichtathletik-Europameisterschaften fallen in diesem Jahr der Corona-Pandemie aus.;21:43;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;ARD extra zur Corona-Krise;Ein Tag der Debatten - ueber Lockerungen, ueber Finanzhilfen.;21:31;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Pandemie breitet sich in Afrika aus;In Afrika hat die Zahl der Corona-Infektionen innerhalb einer Woche um 43 Prozent zugenommen.;21:29;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;"""Es braucht europaeische und globale Solidaritaet""";"Bundesfinanzminister Olaf Scholz sieht in dem EU-Rettungspaket ""einen wichtigen ersten Schritt"".";21:22;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Rotterdam will Gaststadt fuer ESC bleiben;Wegen der Corona-Pandemie wurde der Eurovision Song Contest, der eigentlich vom 12.;21:14;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Zu Hause wird weniger gepaukt;Am heimischen Computer fuer die Schule lernen - das faellt vielen Schuelern in Deutschland schwer.;21:09;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;"Von der Leyen: ""Wir reden nicht von Milliarden, sondern von Billionen""";EU-Kommissionspraesidentin Ursula von der Leyen geht von einem Finanzbedarf in Billionenhoehe fuer den  Wiederaufbaufonds fuer die europaeische Wirtschaft aus, auf den sich die EU-Laender geeinigt haben.;21:05;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Marine sagt Uebungsmanoever ab;"Das jaehrlich stattfindende Uebungsmanoever ""Northern Coasts"" der Marine wurde wegen der Corona-Pandemie abgesagt.";20:59;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Tschechien startet Studie zur Virus-Verbreitung;In den tschechischen Staedten Prag, Bruenn und Olmuetz haben sich heute Hunderte Menschen fuer eine Studie angemeldet, durch die die moegliche Dunkelziffer an Corona-Faellen in dem Land ermittelt werden soll.;20:53;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;"Macron kritisiert ""Asymmetrie"" zwischen EU-Staaten";Frankreichs Praesident Emmanuel Macron zufolge gibt es in der Debatte um EU-Corona-Hilfen noch Meinungsverschiedenheiten zwischen den Mitgliedsstaaten.;20:44;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Tuerkei meldet mehr als 100.000 Faelle;In der Tuerkei haben sich nach Angaben des Gesundheitsministers Fahrettin Koca fast 101.800 Menschen mit den Coronavirus angesteckt.;20:38;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Conte fordert Billionen-Fonds;Italiens Ministerpraesident Giuseppe Conte hat sich dafuer ausgesprochen, den von der EU geplanten Fonds zum Wiederaufbau nach der Corona-Krise mit 1,5 Billionen Euro auszustatten.;20:34;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Weniger Straftaten in Sachsen;Seit der Einfuehrung der Einschraenkungen wegen der Corona-Pandemie ist die Kriminalitaet in Sachsen zurueckgegangen.;20:31;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;"Rolling Stones besingen ""Leben in einer Geisterstadt""";"Die Rolling Stones haben nach rund acht Jahren ueberraschend eine neue Single herausgebracht - und die heisst, passend zur Corona-Krise - ""Living In A Ghost Town"" (""Leben in einer Geisterstadt"").";20:05;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Entscheidung ueber weitere Lockerungen am 6. Mai;Bund und Laender werden nach Angaben von Bundeskanzlerin Angela Merkel am 6. Mai entscheiden, ob weitere Auflagen gegen die Ausbreitung des Coronavirus gelockert werden koennen.;19:59;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;AfD gegen europaeische Finanzhilfen;Die AfD hat sich im Bundestag klar gegen jede Form von Finanzhilfen in der Corona-Krise ausgesprochen, die ueber die EU getragen werden.;19:54;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Merkel: Deutschland muss sich auf hoehere EU-Beitraege einstellen;Nach ihrer Teilnahme am Videogipfel der EU-Mitglieder ueber Finanzhilfen in der Corona-Krise hat Bundeskanzlerin Angela Merkel die Bedeutung eines Fonds fuer den Wiederaufbau betont.;19:45;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;NRW laesst ab Mai wieder Gottesdienste zu;In Nordrhein-Westfalen duerfen Gottesdienste und Versammlungen zur Religionsausuebung ab Mai wieder oeffentlich stattfinden.;19:37;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;EU-Staaten billigen Milliarden-Rettungspaket;Der EU-Gipfel hat das vereinbarte Paket mit Kredithilfen von bis zu 540 Milliarden Euro fuer Kurzarbeiter, Unternehmen und verschuldete Staaten gebilligt.;19:31;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Rund 138.000 Infektionen in Grossbritannien gemeldet;Den britischen Gesundheitsbehoerden sind derzeit rund 138.000 Corona-Faelle bekannt.;19:20;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Schweiz rechnet mit schwerster Rezession seit 45 Jahren;Die Schweizer Regierung hat ihre Wirtschaftsprognose infolge der Coronavirus-Pandemie kraeftig nach unten revidiert und rechnet mit der staerksten Rezession seit 45 Jahren.;19:14;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Potsdam: Klinikleitung nach Anstieg von Corona-Faellen beurlaubt;Im groessten Potsdamer Krankenhaus, dem Klinikum Ernst von Bergmann, hatten seit Mitte Maerz die Corona-Infektionen in hohem Masse zugenommen.;19:04;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Kroatien lockert Einschraenkungen;Auch Kroatien hebt die Auflagen in der Corona-Krise schrittweise auf.;18:59;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Weniger Angst vor dem Virus;Die anfaenglich grosse Sorge wegen der Ausbreitung des Coronavirus nimmt in Deutschland immer mehr ab.;18:54;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Berliner Buergermeister wollen Spielplaetze oeffnen;Der Rat der Buergermeister in Berlin, dem neben dem Regierenden Buergermeister Michael Mueller (SPD) zwoelf Bezirksbuergermeister angehoeren, hat sich darauf geeinigt, dass Spielplaetze ab dem 30. April wieder genutzt werden koennen.;18:51;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Hohe Infektionszahlen in New York befuerchtet;Im US-Bundesstaat New York sind bei fast 14 Prozent von 3000 getesteten Personen Corona-Antikoerper gefunden worden.;18:39;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Spanien: Kinder duerfen wieder aus dem Haus;Spanien hat die strengen Auflagen fuer Kinder unter 14 Jahren waehrend der Corona-Krise etwas gelockert.;18:39;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Unionspolitiker schlagen Maske auf Rezept vor;Besonders von einer Ansteckung mit dem Coronavirus gefaehrdete Risikogruppen sollten Masken auf Rezept erhalten.;17:58;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Sassoli: EU-Staaten auf dem richtigen Weg;EU-Parlamentspraesident David Sassoli zeigt sich ueberzeugt, dass die EU-Mitgliedsstaaten auf dem Video-Gipfel zu Finanzhilfen in der Corona-Krise einen Kompromiss erzielen koennen.;17:52;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Milliardenverlust bei Lufthansa;Die Lufthansa hat im ersten Quartal wegen der Corona-Krise einen operativen Verlust von 1,2 Milliarden Euro verzeichnet.;17:47;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Gelangt das Virus vor allem ueber die Nase in den Koerper?;Einer Studie mehrerer Forscherteams zufolge koennte das Coronavirus vor allem ueber Zellen in der Nase aufgenommen werden, wie das Max-Delbrueck-Centrum fuer Molekulare Medizin mitteilte.;17:41;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Hunderttausende Euro Schaden durch Betrug in Berlin;Die Staatsanwaltschaft Berlin und das Landeskriminalamt ermittelt derzeit in fast 150 Faellen wegen mutmasslichen Betrugs bei Corona-Soforthilfen.;17:33;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Zunahme der sogenannten Uebersterblichkeit;Im Vergleich zu den Vorjahren hat es in Europa in den vergangenen Wochen deutlich mehr Todesfaelle gegeben.;17:24;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Lagarde warnt EU vor zoegerlichem Handeln;Die Chefin der Europaeischen Zentralbank (EZB), Christine Lagarde, hat die EU-Staaten beim derzeit laufenden EU-Gipfel davor gewarnt, unzureichend auf die wirtschaftlichen Folgen der Corona-Pandemie zu reagieren.;17:20;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Fluggesellschaften fordern mehr Zeit fuer Rueckerstattungen;Der Dachverband der Fluggesellschaften (IATA) hat fuer Airlines in der EU mehr zeitlichen Spielraum gefordert, um von Kunden bereits gekaufte Tickets zurueckzuerstatten.;17:10;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;MV und SH: Zweitwohnung bald wieder erlaubt;Besitzer von Zweitwohnungen in Mecklenburg-Vorpommern oder Schleswig-Holstein koennen diese bald wieder nutzen.;16:41;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Frankreich plant einheitlichen Ausstieg aus Einschraenkungen;Ab dem 11. Mai will Frankreich die strikten Auflagen im Kampf gegen die Ausbreitung des Coronavirus schrittweise lockern.;16:29;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Gruesse per Bus;Die staedtische Verkehrsgesellschaft STIB-MIVB in Bruessel hat sich in der Corona-Krise etwas Besonderes einfallen lassen: Einwohner koennen Nachrichten fuer Freunde, Familie oder Kollegen an die Verkehrsgesellschaft schicken - und die werden dann per Bus zum jeweiligen Empfaenger gebracht und ausgerufen.;16:23;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Geisterspiele bis ins naechste Jahr hinein?;Noch ist offen, wann die aktuelle Fussball-Saison beendet werden kann und das wirkt sich auch auf einen moeglichen Start der Saison 2020/2021 aus, sagte DFL-Chef Christian Seifert.;16:13;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Mehr als 2000 Corona-Tote in Schweden;In Schweden sind nach Angaben der Gesundheitsbehoerde bereits mehr als 2000 Menschen infolge einer Corona-Infektion gestorben.;16:08;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Sachsens Theater beenden vorzeitig Spielzeit;Die staatlichen Theaterbuehnen in Sachsen haben sich mit dem Kultusministerium des Bundeslandes auf ein vorzeitiges Ende der Spielzeit 2019/2020 geeinigt.;16:04;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;AfD-Forderung nach Aufhebung der Auflagen abgelehnt;Mit grossem Unverstaendnis haben Politiker anderer Fraktionen auf die Forderung der AfD-Bundestagsfraktion nach einer schnellen Aufhebung von Beschraenkungen wegen der Corona-Pandemie reagiert.;15:58;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Interview zur Finanzdebatte der EU;Wie kann die EU die wirtschaftlichen Schaeden durch die Corona-Krise schultern - und wer zahlt dafuer? Darueber diskutieren die EU-Mitglieder seit Wochen.;15:49;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Rueckhalt fuer Schutzmassnahmen;Einer Umfrage von mehreren Hochschulen unter der Leitung der Universitaet Hamburg zufolge befuerwortet ein Grossteil der in Europa lebenden Buerger die wegen der Corona-Pandemie angeordneten Einschraenkungen.;15:44;23.04.2020
