name;cases;diff;deaths;update
Baden-Württem­berg;28.253;370;982;20.04.2020
Bayern;37.849;442;1.286;20.04.2020
Berlin;5.196;37;94;20.04.2020
Brandenburg;2.238;17;66;20.04.2020
Bremen;604;19;25;20.04.2020
Hamburg;4.185;18;91;20.04.2020
Hessen;7.177;69;240;20.04.2020
Mecklenburg-Vor­pommern;653;2;15;20.04.2020
Niedersachsen;8.900;103;291;20.04.2020
Nordrhein-West­falen;28.971;500;857;20.04.2020
Rhein­land-Pfalz;5.523;91;107;20.04.2020
Saarland;2.314;11;91;20.04.2020
Sachsen;4.229;39;109;20.04.2020
Sachsen-Anhalt;1.369;19;30;20.04.2020
Schles­wig-Holstein;2.426;9;67;20.04.2020
Thüringen;1.785;29;53;20.04.2020
Gesamt;141.672;1.775;4.404;20.04.2020
