headline;title;description;pubTime;pubDate
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;Krise bei Betreibern von Ferienwohnungen;Der Deutsche Tourismusverband warnt: Auch Betreibern von Ferienwohnungen und Ferienhaeusern drohe schon bald das Aus.;14:28;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;"Fragen und Antworten zum ""Lockdown""";"Der These einiger Wissenschaftler zufolge sei der ""Lockdown"" unnoetig.";14:28;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;Alltagsmasken fuer Schueler in Rheinland-Pfalz;Die rheinland-pfaelzische Landesregierung will allen Schuelern des Landes zum schrittweisen Schulstart am 4. Mai eine wiederverwendbare Alltagsmaske schenken.;14:21;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;Thueringen: Notbetreuung fuer Alleinerziehende ausgeweitet;In Thueringen sollen berufstaetige Alleinerziehende kuenftig Anspruch auf Plaetze fuer ihre Kinder im Kindergartenalter in der Notbetreuung haben.;14:16;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;Weitere Bundeslaender fuehren Maskenpflicht ein;Unser Ueberblick zeigt, welche Bundeslaender das Tragen einer Gesichtsmaske verpflichtend in Geschaeften und im Nahverkehr einfuehren:;14:13;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;Oesterreich kuendigt weitere Lockerungen an;In Oesterreich sollen ab Mitte Mai die Lokale und Restaurants wieder oeffnen.;14:01;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;Gottesdienste ab Anfang Mai in Baden-Wuerttemberg;In Baden-Wuerttemberg sollen Kirchen nach Angaben von Ministerpraesident Winfried Kretschmann bereits Anfang Mai unter Auflagen Gottesdienste feiern koennen.;13:55;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;WHO: Virus entstand hoechstwahrscheinlich auf natuerlichem Weg;Das neue Coronavirus ist nach Einschaetzung der Weltgesundheitsorganisation (WHO) auf natuerlichem Wege entstanden.;13:31;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;UN warnen vor Zunahme von Hungersnoeten;Die Vereinten Nationen warnen davor, dass sich die Zahl der unterernaehrten Menschen wegen der Corona-Pandemie und ihrer wirtschaftlichen Folgen weltweit fast verdoppeln koennte.;13:22;21.04.2020
Corona-Pandemie | ++ Handball-Bundesliga bricht Saison ab ++;Innenministerium gegen Termin fuer erste Bundesliga-Spiele;Das Bundesinnenministerium ist strikt dagegen, jetzt schon einen Termin fuer die Wiederaufnahme von Fussball-Bundesliga-Spielen zu nennen.;13:09;21.04.2020
